,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,税费解析,装修描述,周边配套,交通出行,户型介绍,售房详情,权属抵押,别墅类型,适宜人群,房源核验码,查询房管备案记录,用水类型,用电类型,燃气价格
272,弘阳广场旁 弘阳燕澜湾 毛坯大四房 随时看房,280万,18919,天宁区兰陵街道,弘阳燕澜湾,4室2厅1厨2卫,中楼层 (共34层),148㎡,平层,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2022-10-19,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,楼层好 ，采光好，使用面积大，房东诚心出售,小区地理位置优越，弘阳地产开发，小区全天保安，安全性高，环境优美，绿化好,,,小区配套有弘阳生活广场大型综合体。吃喝娱乐采购一站式解决，距离南大街，湖塘吾悦三公里。与江苏理工学院一路之隔，西面1千米有皇粮浜湿地公园，北面五百米荆川公园。,小区位于中吴大道与长江路交汇处 公交车有23.56.23.28直达南大街火车站 医院 九洲新世界,,,,,,,,,,
273,长岛花园 大三房 看房方便  户型好,200万,14648,武进区兰陵街道,新城长岛花园,3室2厅1厨2卫,低楼层 (共11层),136.54㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯两户,有,暂无数据,2022-06-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,核 心卖点：楼层好，采光佳，户型方正，看房方便~,,"税费解析：税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,售房详情：业主现诚心出售，证件齐，欢迎看房，随时欢迎看房。。,权属抵押：此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,
274,弘阳广场旁 中吴大道 弘阳燕澜湾 大四房 随时看房,255万,18086,天宁区兰陵街道,弘阳燕澜湾,4室2厅1厨2卫,中楼层 (共33层),141㎡,平层,暂无数据,塔楼,南,框架结构,毛坯,两梯三户,有,暂无数据,2022-10-18,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,楼层好 ，采光好，使用面积大，房东诚心出售,小区地理位置优越，弘阳地产开发，小区全天保安，安全性高，环境优美，绿化好,,,小区配套有弘阳生活广场大型综合体。吃喝娱乐采购一站式解决，距离南大街，湖塘吾悦三公里。与江苏理工学院一路之隔，西面1千米有皇粮浜湿地公园，北面五百米荆川公园。,小区位于中吴大道与长江路交汇处 公交车有23.56.23.28直达南大街火车站 医院 九洲新世界,,,,,,,,,,
275,弘阳燕澜湾3-1-1-2 108.89m² 178 万,178万,16347,天宁区兰陵街道,弘阳燕澜湾,3室1厅1厨2卫,低楼层 (共34层),108.89㎡,平层,暂无数据,塔楼,南,钢混结构,简装,两梯四户,有,暂无数据,2022-10-19,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,房源为本小区实在房源，环境优美，楼间开阔，居住舒适性高。,小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,,小区配套有弘阳生活广场大型综合体。吃喝娱乐采购一站式解决，距离南大街，湖塘吾悦三公里。与江苏理工学院一路之隔，西面1千米有皇粮浜湿地公园，北面五百米荆川公园。,小区位于中吴大道与长江路交汇处，公交车有23、56、23、28，直达南大街火车站、医院、九洲新世界。,,,,,,,,,,
276,小区景观房，三面观赏前后阳台，环境优美，配套齐全。,550万,30260,天宁区兰陵街道,九州新世界君玺,4室2厅1厨2卫,高楼层 (共32层),181.76㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-06-02,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,精装修，采光好，户型方正，小区环境优美，配套齐全。,1.小区生活设施齐，商场、菜市场、银行等，交通便捷，2.小区内有健身器材，小型篮球场，可供小区居民使用；3.小区内停车位充足，建有地下停车场，人车分流。地上有会客停车位。4.小区内24小时保安巡逻。,"税费解析：税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。",,到九洲新世界100米，到地铁一号线100米，到吾悦国际500米，到九洲农贸市场50米。,,,,,,,,,,,
277,九洲君玺旁 新世界花苑边户 户型方正 楼层佳采光好,205万,14667,天宁区兰陵街道,九洲新世界花苑,3室2厅1厨2卫,中楼层 (共32层),139.77㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,三梯三户,有,暂无数据,2022-10-17,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,格局好，采光好，户型方正 ，配套全，交通便利。,,契税：首套房，90平米以下成交价的1%，90平米以上成交价的1.5%；二套房90平米以上的成交价的2%。2 增值税:产证满2年免收增值税。3 个税：产证满5年而且是唯一一套住房，免收个税。,,九洲大润发，新世界，兰陵大润发，兰园，各大银行，各类小吃美食一应。,,通透性强，居住舒适，每个房间都有窗户，楼层佳，朝向南北，视野开阔，采光透亮。,,,,,,,,,
278,弘阳燕澜湾 毛坯 四开间朝南 户型方正，看房方便,250万,17242,天宁区兰陵街道,弘阳燕澜湾,4室2厅1厨2卫,低楼层 (共34层),145㎡,平层,暂无数据,塔楼,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-07-09,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,弘阳燕澜湾 毛坯 四开间朝南 户型方正，看房方便,1.小区生活设施齐，商场、菜市场、银行等，交通便捷，2.小区内有健身器材，小型篮球场，可供小区居民使用；3.小区内停车位充足，建有地下停车场，人车分流。地上有会客停车位。4.小区内24小时保安巡逻。,"税费解析：税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。",,,,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,
279,棕榈湾 2室1厅 南,108万,12139,武进区兰陵街道,棕榈湾,2室1厅1厨1卫,低楼层 (共18层),88.97㎡,平层,暂无数据,板楼,南,框架结构,简装,两梯六户,有,暂无数据,2022-06-14,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 30万元,未上传房本照片,,,,,,,,,,,,,,,,
280,弘阳上城四房两卫前排户型方正有钥匙随时看房,199万,14150,天宁区兰陵街道,弘阳上城,4室2厅1厨2卫,低楼层 (共25层),140.64㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯三户,有,暂无数据,2023-10-14,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,弘阳广场旁，次新小区，弘阳物业高品质,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,"业主人友好、热情,很有诚意出售。欢迎看房,随时恭候户型棒,成熟小区管理",此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,
281,一梯一户洋房6层顶楼复式 ，有钥匙随时看房,429.8万,17213,武进区兰陵街道,外滩壹号花园五区,5室2厅1厨3卫,高楼层 (共6层),249.7㎡,跃层,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-08-03,商品房,2022-04-13,普通住宅,未满两年,共有,有抵押,已上传房本照片,顶复！格局好，采光好，户型方正 ，配套全，交通便利。,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。",,此小区在市区地段，西边有九州新世界花园 君玺，时尚莱迪，大型菜市场，东边有地铁站，同济，正衡，北边1200多米有两家医院,BRT光华路兰陵站，B1.B16.B19. 九州新世界广场，小区南门有共享单车. 公交车:1路、31路。,,,,,,,,,,
282,中凉二村中装两房户型方正业主诚售,68.5万,10224,武进区兰陵街道,中凉二村,2室1厅1厨1卫,中楼层 (共5层),67㎡,平层,暂无数据,板楼,南,砖混结构,简装,暂无数据,无,暂无数据,2021-07-23,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,中凉二村中装两房户型方正业主诚售,,： a 首套90平以下1% b 首套90平以上1.5% c 二套90平以下1% d 二套90平以上2% e 三套都是3%增值税 ；满两年免征 不满两年征收5.3%个人所得税 不满五年征1%,,"：
从小区往南1800米左右可到达万达广场和地铁一号线，往南100米左右就是中凉消费品市场，买车购物方便，往西1000米左右可到达三甲医院三院，配套齐全，生活方便",小区往东50米左右到达武进主干道花园街，有302等各路公交，往南1800米可以乘坐地铁一号线出行,,,,,,,,,,
283,九州兰陵商圈 工人新村 二楼 户型朝南有钥匙随时看房,72万,10311,天宁区兰陵街道,工人新村南,2室1厅1厨1卫,中楼层 (共5层),69.83㎡,平层,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2021-03-20,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,九州兰陵商圈 工人新村 二楼 户型朝南有钥匙随时看房,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,菜市场，*市，购物方便，适合居家生活的小区，九洲就在旁边，步行即可到达,成熟社区，1公里处就是九州新世界商圈，门口有210公交车直达南大街，200米处就是兰陵菜场，银行*市一应俱全,,,,,,,,,,
284,优质户型，低总价，楼层好，视野宽.,82.8万,14527,武进区兰陵街道,棕榈湾,1室1厅1厨1卫,低楼层 (共18层),57㎡,平层,暂无数据,板楼,南,框架结构,精装,两梯六户,有,暂无数据,2021-11-20,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,优质户型，低总价，楼层好，视野宽.,"小区介绍：
小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行 购物商场 美食等 人文素养好，乐于助人，相处和谐","税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,此房业主诚心出售，产权清晰，证件齐全，看房方便，要看房的约起来吧,,,,,,,,
285,"户型方正,视野宽阔,采光充足,配套设施齐全,交通便利",190万,14729,武进区兰陵街道,外滩壹号花园,3室1厅1厨2卫,高楼层 (共34层),129㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2021-05-17,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 业主自还,未上传房本照片,"户型方正,视野宽阔,采光充足,配套设施齐全,交通便利",小区生活设施齐，商场、*市、菜市场、银行等，交通便捷 2.小区内有健身器材，小型篮球场，可供小区居民使用 3.小区内停车位充足，建有地下停车场，人车分流。地上有会客停车位。 4.小区内24小时保安巡逻。,"契税分析:首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。",,,小区位于中吴大道与武宜路交叉口，出行交通有201，901，302，220，14.地铁一号线直达南大街，火车站，交通方便。 距离兰陵欧尚*市500米，九州新世界1.8公里，湖塘吾悦广场2.8公里。距离常州第三人民医院400米，常州仁慈医院1000米,,,,,,,,,,
286,伟业·臻品花园 4室2厅 南,225万,12641,武进区兰陵街道,伟业·臻品花园,4室2厅1厨2卫,高楼层 (共16层),178㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2020-03-29,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 100万元,未上传房本照片,,,,,,,,,,,,,,,,
