,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,户型介绍,周边配套,税费解析,小区介绍,权属抵押,售房详情,交通出行,装修描述,别墅类型,适宜人群,房源核验码,查询房管备案记录
87,此房格局通透，户型方正，楼层佳，视野开阔，阳光充足,115万,10158,经开区潞城,蓝山湖,3室2厅1厨1卫,高楼层 (共17层),113.22㎡,暂无数据,87.34㎡,板楼,南,框架结构,毛坯,两梯四户,有,暂无数据,2023-02-15,商品房,2019-04-01,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,此房格局通透，户型方正，楼层佳，视野开阔，阳光充足,.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁,,,,,,,,
88,蓝山湖精装洋房 3房2卫 满五唯一省税 随时看房,160万,12894,经开区潞城,蓝山湖,3室2厅1厨2卫,高楼层 (共8层),124.09㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,三梯两户,有,暂无数据,2023-07-22,商品房,2017-07-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,蓝山湖精装洋房 3房2卫 满五唯一省税 另附10平方阳台房,,综合市场，大卖场，医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄，吾悦广场。,税费解析：此房满五唯一，故个税是0%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％。,,此房无贷款，无抵押，产权清晰。房东对付款无要求，按照正常首付就可以。,,,,,,,
89,此房格局通透，户型方正精装拎包入住，南北院子,698万,30162,经开区潞城,公园壹号花园,5室2厅1厨3卫,低楼层 (共3层),231.42㎡,,225.44㎡,,南,未知结构,精装,,,暂无数据,2023-05-01,商品房,2009-08-18,别墅,暂无数据,共有,无抵押,已上传房本照片,此房格局通透，户型方正，阳光充足，精装，拎包入住，看房方便,"1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。
规划的地铁2号线丁堰站800米，距离brt白金汉爵..",,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,,,,,暂无数据,,,
90,新城公园壹号三期，简装未入住，地铁二号线,132万,10769,经开区潞城,公园壹号花园,3室2厅1厨2卫,低楼层 (共18层),122.58㎡,暂无数据,100.5㎡,板楼,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-02-22,商品房,2016-05-04,普通住宅,暂无数据,共有,无抵押,已上传房本照片,"卖点：
房子满五年精装方正户型中低楼层上下楼方便",,"配套：
东有爱琴海购物广场 西有吾悦天宁 地铁2号线 毓秀园、丁塘河湿地公园双公园 龙城大道和青洋高架双高架 出行方便。",,"小区介绍：
公园壹号是新城地产在经开区打造的居住标杆，物业管理品质和环境美化水准远高于同期经开区的住宅社区。 小区西侧就是丁塘河湿地公园，经开区全民健身、白金汉爵酒店、爱琴海购物广场、天宁吾悦广场、地铁2号线等配套齐全。",,,"小区介绍：
公园壹号是新城地产在经开区打造的居住标杆，物业管理品质和环境美化水准远高于同期经开区的住宅社区。 小区西侧就是丁塘河湿地公园，经开区全民健身、白金汉爵酒店、爱琴海购物广场、天宁吾悦广场、地铁2号线等配套齐全。",,,,,
91,此房格局通透，户型方正，楼层佳，视野开阔，全天阳光,148万,11045,经开区潞城,亨达未来城,3室2厅1厨2卫,低楼层 (共10层),134㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-02-18,商品房,2021-02-02,普通住宅,暂无数据,共有,有抵押 95万元,已上传房本照片,此房格局通透，户型方正，楼层佳，视野开阔，全天阳光,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,,,,,,,,
92,此房精装三房  房东诚心出售！！,160万,13459,经开区潞城,港龙紫荆城,3室1厅1厨1卫,低楼层 (共29层),118.88㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2023-02-09,商品房,2020-06-19,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,此房精装三房    房东诚心出售,户型周正，格局分布合理，空间感好，通透性强，居住舒适 ，南北朝向，小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁,,,,,,,,
93,港龙新港城 精装三房高楼层 采光没影响有钥匙随时看房,135万,12564,经开区潞城,港龙.新港城,3室2厅1厨2卫,高楼层 (共34层),107.45㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2022-09-17,商品房,2020-09-07,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房精装三房 高楼层 采光刺眼 房东诚心出售 钥匙已经给我,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,,,,,,,,
94,联排别墅，小区头排，院子面积大,659万,23982,经开区潞城,港龙.新港城,4室2厅1厨3卫,低楼层 (共1层),274.8㎡,,暂无数据,,南 北,框架结构,毛坯,,,暂无数据,2023-03-15,商品房,暂无数据,别墅,暂无数据,共有,无抵押,未上传房本照片,小区头排视野开阔，院子拓展面积大！,,,"税费解析： 税费解析： 税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",龙新港城位于常州市戚区，东城路和东方二路。项目占地约200亩(132460平米)，规划建筑面积约42万平米。由港龙公司于2012.9.30日挂牌竞得。,,,,,暂无数据,,,
95,美的云筑 3室2厅 南,290万,23016,经开区潞城,美的云筑,3室2厅1厨2卫,低楼层 (共8层),126㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-05-25,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,,,,,,,,,,,,,
96,小高层 精装未入住 6月满2年,155万,15711,经开区潞城,亨达未来城,3室1厅1厨2卫,中楼层 (共11层),98.66㎡,暂无数据,暂无数据,暂无数据,西南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-03-28,商品房,2021-06-22,普通住宅,暂无数据,非共有,有抵押 业主自还,已上传房本照片,此房是11层小高层房源，一梯两户，私密性强，精装未入住,,,,,此房有抵押，产权清晰，2023年6月满2年，看房提前联系房东开门，,"出售原因：业主改善置换
装修情况：新装修，未入住，装修约27万",,新装修，可以拎包入住，装修花费27万。品牌家具家电，环保绿色材料。,,,,
97,港龙新港城别墅纯毛坯位置佳采光好带五个产权车位,600万,21796,经开区潞城,港龙.新港城,4室2厅1厨3卫,低楼层 (共1层),275.28㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-04-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,满二，别墅，纯毛坯，四房二厅三卫，大花园，五个产权车位。,,龙新港城位于常州市戚区，东城路和东方二路。项目占地约200亩(132460平米)，规划建筑面积约42万平米。由港龙公司于2012.9.30日挂牌竞得。,,龙新港城位于常州市戚区，东城路和东方二路。项目占地约200亩(132460平米)，规划建筑面积约42万平米。由港龙公司于2012.9.30日挂牌竞得。封闭式小区，别墅区式独立的院落。,,,上龙城高架1500米，到天宁吾悦1600米，到地铁二号线站口潞城站1200米。,,,,,
98,急售牡丹招商公园学府三房户型好价格可谈随时看房,216万,18557,经开区潞城,牡丹招商·公园学府,3室2厅1厨2卫,中楼层 (共27层),116.4㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-02-24,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 客户偿还,未上传房本照片,此房户型好，户型位置好，房东诚心急卖,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",环境优美：小区安静优雅，绿化较好，带有休闲设施，可在小区花园游玩，十分有情调。2.交通便利：公交车方向众多，外部道路宽阔，交通十分便利。 3.生活便利：小区内有，合理分布便利，生活用品及买菜十分便利，生活轻松,,,,,,,,
99,好房急售牡丹招商公园学府三房价格有来去看房提前联系,238万,20848,经开区潞城,牡丹招商·公园学府,3室2厅1厨2卫,低楼层 (共18层),114.16㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-03-11,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房户型好，户型位置好，房东诚心急卖,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮,好几家大型购物商场（永辉，好又多），综合菜场，药店，银行配套齐全，还有天宁吾悦购物广场，丁塘河湿地公园，爱琴海购物广场,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,,,,,
