,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,套内面积,房屋朝向,建筑结构,装修情况,别墅类型,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,适宜人群,周边配套,税费解析,户型结构,建筑类型,梯户比例,配备电梯,小区介绍,户型介绍,交通出行,用水类型,用电类型,售房详情,权属抵押,装修描述
181,太湖庄园联排边套 大院子院子方正 看房方便 满五唯一,400万,10932,武进区雪堰镇,太湖庄园,5室3厅1厨4卫,低楼层 (共3层),365.9㎡,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,2024-02-19,商品房,2017-06-13,别墅,暂无数据,共有,有抵押,已上传房本照片,此房满五唯一，联排边套院子很方正，采光好，南北通透,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
182,太湖庄园下叠边套 采光无遮挡 大院子 看房方便,260万,20000,武进区雪堰镇,太湖庄园,4室2厅1厨3卫,低楼层 (共4层),130㎡,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,2024-02-18,商品房,暂无数据,别墅,暂无数据,非共有,无抵押,未上传房本照片,此房南北通透 下叠边套南北院子采光无遮挡,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
183,太湖庄园精装洋房 一楼带院子 有天有地 看房提前联系,128万,20441,武进区雪堰镇,太湖庄园,1室1厅1厨1卫,低楼层 (共11层),62.62㎡,暂无数据,南 北,未知结构,精装,,暂无数据,2023-12-28,商品房,2022-09-23,普通住宅,未满两年,非共有,有抵押,已上传房本照片,此房是一楼带院子的房子，精装修，基本没怎么住过！,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",暂无数据,暂无数据,暂无数据,暂无数据,,,,,,,,
184,太湖庄园顶复毛坯洋房 南北通透 视野好 看房方便,200万,16091,武进区雪堰镇,太湖庄园,4室2厅2厨2卫,高楼层 (共11层),124.3㎡,暂无数据,南 北,未知结构,毛坯,,暂无数据,2024-01-17,商品房,2021-03-10,普通住宅,暂无数据,共有,有抵押,已上传房本照片,此房南北通透格局，采光好，交通便利！,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,税费分析，契税缴纳按名下房产套数定，此房面积小于90平方， 若首套二套房均为成交价的1%。三套及以上的成交价的3% 2、增值税：产证满2年免收增值税，未满2年征收5.6％。 个税需缴纳成交价的1%,暂无数据,暂无数据,暂无数据,暂无数据,,,,,,,,
185,太湖庄园毛坯联排 南北通透 南北院子采光好 看房方便,302万,16065,武进区雪堰镇,太湖庄园,5室3厅1厨4卫,低楼层 (共3层),187.99㎡,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,2024-03-10,商品房,2022-09-02,别墅,未满两年,共有,有抵押,已上传房本照片,此房南北通透，带南北院子，看房方便,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
186,小区环境优美，配套成熟，交通便利。,120万,10345,武进区雪堰镇,悦欣庭院,2室2厅1厨1卫,低楼层 (共11层),116㎡,暂无数据,南 北,未知结构,精装,,暂无数据,2024-02-18,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区环境优美，配套成熟，交通便利,,小区生活设施齐全，商场菜市场银行等交通便捷小区有健身器材，可供小区居民使用,房屋契税首套房满五唯一90平方以下1%首套房。满五唯一90平方以上1.5，三套是3%，满两年免增值税,暂无数据,暂无数据,一梯四户,有,,小区户型周正，格局分布合理，通透性强，居住舒适，南北通透小区生活设施齐全,小区内停车位充足，即由地上停车场和地下车库小区内24小时保安巡逻,,,,,此房是婚房精装修，安排合理。全新家电。装修很温馨，无需再改动
187,南北通透，格局，楼层好，视野宽阔，采光充足,85万,8096,武进区雪堰镇,枫叶花园,2室2厅1厨1卫,低楼层 (共6层),105㎡,暂无数据,南 北,钢混结构,简装,,暂无数据,2024-03-04,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,南北通透，楼层好，视野宽阔，采光充足，配套设施齐全，人文环境,首付不高，贷款方式不限，适合任何人居住，人文环境优美，小区有环行跑道，可供小区内的居民使用,,首付不高，贷款方式不限，满2年不交增值税，不满两年交5.3的增值税，不满90交百分之一的契税，满90交百分之1.5的契税,暂无数据,板塔结合,两梯两户,有,,此房楼层好，户型方正，南北通透，简单装修，前后都有阳台，主居室有飘窗,,,,,,
188,望湖怡景 2室2厅 南,110万,12644,武进区雪堰镇,望湖怡景,2室2厅1厨1卫,低楼层 (共18层),87㎡,暂无数据,南,钢混结构,精装,,暂无数据,2024-03-08,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 业主自还,未上传房本照片,,,,,暂无数据,板塔结合,两梯三户,有,,,,,,,,
189,太湖庄园毛坯上叠 带80平院子 南北通透 看房方便,280万,22654,武进区雪堰镇,太湖庄园,3室2厅1厨3卫,中楼层 (共4层),123.6㎡,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,2024-03-21,商品房,暂无数据,别墅,暂无数据,非共有,无抵押,未上传房本照片,此房南北通透，带院子，毛坯上叠,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,税费分析，契税缴纳按名下房产套数定，此房面积小于90平方， 若首套二套房均为成交价的1%。三套及以上的成交价的3% 2、增值税：产证满2年免收增值税，未满2年征收5.6％。 个税需缴纳成交价的1%,,,,,,,,,,,,
190,望湖名门 4室2厅 南,170万,9445,武进区雪堰镇,望湖名门,4室2厅1厨2卫,高楼层 (共11层),180㎡,暂无数据,南,钢混结构,其他,,暂无数据,2024-03-12,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,暂无数据,板塔结合,一梯三户,有,,,,,,,,
191,阳光花园 2室2厅 南,80万,8398,武进区雪堰镇,阳光花园,2室2厅1厨1卫,中楼层 (共5层),95.27㎡,暂无数据,南,钢混结构,简装,,暂无数据,2024-03-21,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,暂无数据,板塔结合,暂无数据,暂无数据,,,,,,,,
192,太湖庄园精装洋房 采光好 看房方便 价可谈,130万,14349,武进区雪堰镇,太湖庄园,2室2厅1厨1卫,中楼层 (共11层),90.6㎡,暂无数据,北 南,未知结构,精装,,暂无数据,2024-03-14,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房南北通透，精装未入住，中间楼层，采光好，看房方便,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,税费分析，契税缴纳按名下房产套数定，此房面积小于90平方， 若首套二套房均为成交价的1%。三套及以上的成交价的3% 2、增值税：产证满2年免收增值税，未满2年征收5.6％。 个税需缴纳成交价的1%,暂无数据,暂无数据,暂无数据,暂无数据,,,,,,,,
193,旷达福源二区 4室2厅 南 北,188万,11877,武进区雪堰镇,旷达福源二区,4室2厅1厨2卫,低楼层 (共6层),158.3㎡,暂无数据,南 北,未知结构,其他,,暂无数据,2024-03-17,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,暂无数据,暂无数据,暂无数据,暂无数据,,,,,,,,
194,太湖庄园联排别墅 南北院子 有钥匙 看房方便,305万,16032,武进区雪堰镇,太湖庄园,5室3厅1厨3卫,低楼层 (共3层),190.25㎡,暂无数据,南 北,框架结构,毛坯,暂无数据,暂无数据,2024-02-23,商品房,2021-01-26,别墅,暂无数据,共有,无抵押,已上传房本照片,此房南北通透，采光好，房东诚心出售，价可谈！！！,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
195,太湖庄园精装洋房 南北通透 价可谈 看房方便 采光好,98万,11805,武进区雪堰镇,太湖庄园,2室2厅1厨1卫,中楼层 (共11层),83.02㎡,暂无数据,南 北,未知结构,精装,,暂无数据,2024-03-09,商品房,2022-09-22,普通住宅,未满两年,共有,有抵押,已上传房本照片,此房南北通透，精装未入住，中间楼层，采光好，看房方便,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,税费分析，契税缴纳按名下房产套数定，此房面积小于90平方， 若首套二套房均为成交价的1%。三套及以上的成交价的3% 2、增值税：产证满2年免收增值税，未满2年征收5.6％。 个税需缴纳成交价的1%,暂无数据,暂无数据,暂无数据,暂无数据,,,,,,,,
196,太湖庄园毛坯上叠 采光无遮挡 视野好 看房方便,157.8万,13094,武进区雪堰镇,太湖庄园,3室2厅1厨3卫,中楼层 (共4层),120.52㎡,暂无数据,南 北,未知结构,毛坯,,暂无数据,2024-01-28,商品房,2019-04-11,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,此房南北通透，上叠，采光无遮挡,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",暂无数据,暂无数据,暂无数据,暂无数据,,,,,,,,
197,太湖庄园迷你墅 上下三层  有钥匙 看房方便 价格可谈,86万,14334,武进区雪堰镇,太湖庄园,3室2厅1厨2卫,中楼层 (共4层),60㎡,暂无数据,南 北,钢混结构,其他,,暂无数据,2024-03-21,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,此房通透，视野好，迷你墅，看房方便。,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,"税费分析，此房面积大于90平方，所以契税缴纳按名下房产套数定 若首套房契税为成交价的1.5％,。二套房成交价的2%。三套及以上的成交价的3% 2、增值税：产证满2年免收增值税，未满2年征收5.6％。 个税需缴纳成交价的1%",暂无数据,板塔结合,暂无数据,暂无数据,,,,,,,,
